# Only Scattering events that has return times
# All data corresponds to the unified Phase=Time*angfreq. KE is unit of Up. A and P are unit of A0 and all are at the polarization axis. dt=0.01au
# BornPhase	ReturnPhaser	KE_scatter	KE_backscatter	A_birth	A_scatter	P_scatter	P_backscatter
1.583630256017604321e+00 7.462819357394930186e+00 3.106244732917581852e-01 1.202365928466121003e+00 -1.283357691341975582e-02 3.812631582238801276e-01 -3.940967351372998695e-01 7.753598933611800526e-01
1.583782133859363173e+00 7.460560866587974793e+00 3.141636973650227538e-01 1.215819296740155764e+00 -1.298544209887130159e-02 3.833500832865164853e-01 -3.963355253853877991e-01 7.796856086719042844e-01
1.583934011701121802e+00 7.458315784619357736e+00 3.177001266524808742e-01 1.229257645059260495e+00 -1.313730698478900866e-02 3.854226801266124047e-01 -3.985599871114013926e-01 7.839826672380137973e-01
1.584085889542880432e+00 7.456084057345806038e+00 3.212334975873489262e-01 1.242679963520735287e+00 -1.328917156767004705e-02 3.874810229249773808e-01 -4.007701944926474469e-01 7.882512174176248276e-01
1.584237767384639062e+00 7.453865465030149018e+00 3.247637974848739395e-01 1.256086228991315057e+00 -1.344103584401137516e-02 3.895253383641066325e-01 -4.029663742081179834e-01 7.924917125722246158e-01
1.584389645226397914e+00 7.451659791669877464e+00 3.282910174886511379e-01 1.269476432987329151e+00 -1.359289981031018210e-02 3.915558491009082931e-01 -4.051487489112184925e-01 7.967045980121267856e-01
1.584541523068156321e+00 7.449466824926946451e+00 3.318151523937543090e-01 1.282850580983322608e+00 -1.374476346306277227e-02 3.935727738427561295e-01 -4.073175373058188775e-01 8.008903111485750070e-01
1.584693400909915173e+00 7.447286356059005463e+00 3.353362004766585747e-01 1.296208691747439357e+00 -1.389662679876701307e-02 3.955763274220572834e-01 -4.094729542208243034e-01 8.050492816428815868e-01
1.584845278751673803e+00 7.445118321770258341e+00 3.388539489289593143e-01 1.309549953726832250e+00 -1.404848981391922796e-02 3.975665906489808110e-01 -4.116150804629000182e-01 8.091816711118808847e-01
1.584997156593432432e+00 7.442962189207804613e+00 3.423689021109782016e-01 1.322876374758380713e+00 -1.420035250501663036e-02 3.995440747148422678e-01 -4.137444272198588791e-01 8.132885019347011468e-01
1.585149034435191062e+00 7.440817932768672982e+00 3.458808082250124372e-01 1.336186989096887157e+00 -1.435221486855622376e-02 4.015088245574836012e-01 -4.158610394260398024e-01 8.173698639835234037e-01
1.585300912276949692e+00 7.438685370108343520e+00 3.493896588100588452e-01 1.349481787478239214e+00 -1.450407690103501512e-02 4.034610285862884616e-01 -4.179651054873234628e-01 8.214261340736119799e-01
1.585452790118708322e+00 7.436564321777989761e+00 3.528954483869565228e-01 1.362760772017805655e+00 -1.465593859895002356e-02 4.054008720748899508e-01 -4.200568106738399865e-01 8.254576827487298818e-01
1.585604667960467173e+00 7.434454611173615390e+00 3.563981743277299108e-01 1.376023955700292900e+00 -1.480779995879849542e-02 4.073285372166038365e-01 -4.221363371754023319e-01 8.294648743920061129e-01
1.585756545802225581e+00 7.432356205109176273e+00 3.598976190147654686e-01 1.389270506384198356e+00 -1.495966097707679757e-02 4.092440748709031406e-01 -4.242037358479799347e-01 8.334478107188830753e-01
1.585908423643984433e+00 7.430268626225287498e+00 3.633942586637769478e-01 1.402502318064144715e+00 -1.511152165028285636e-02 4.111479408040871752e-01 -4.262594624543700195e-01 8.374074032584571947e-01
1.586060301485743285e+00 7.428191850645593952e+00 3.668878760237967995e-01 1.415718559267211241e+00 -1.526338197491327632e-02 4.130401762777568542e-01 -4.283035582526701357e-01 8.413437345304269899e-01
1.586212179327501692e+00 7.426125723108445875e+00 3.703784626589025075e-01 1.428919218833341498e+00 -1.541524194746467236e-02 4.149209421335991466e-01 -4.303361840810638328e-01 8.452571262146629794e-01
1.586364057169260544e+00 7.424070090666551103e+00 3.738660126022722019e-01 1.442104295010929738e+00 -1.556710156443499513e-02 4.167903966949754735e-01 -4.323574982594104443e-01 8.491478949543859178e-01
1.586515935011019174e+00 7.422024802648847341e+00 3.773505222542304360e-01 1.455273795059060182e+00 -1.571896082232064965e-02 4.186486958086895749e-01 -4.343676566310102349e-01 8.530163524396997543e-01
1.586667812852777804e+00 7.419989710623001500e+00 3.808319902838427362e-01 1.468427734863705370e+00 -1.587081971761894125e-02 4.204959928860910745e-01 -4.363668126037100192e-01 8.568628054898010937e-01
1.586819690694536433e+00 7.417964792817595132e+00 3.843102197221616168e-01 1.481565361781083112e+00 -1.602267824682696018e-02 4.223323261287142971e-01 -4.383550043755412573e-01 8.606873305042554989e-01
1.586971568536295285e+00 7.415949632179239970e+00 3.877856468053242356e-01 1.494688409479162372e+00 -1.617453640644202217e-02 4.241580917312672283e-01 -4.403326281377092366e-01 8.644907198689765204e-01
1.587123446378053693e+00 7.413944218275339892e+00 3.912580684834706668e-01 1.507796100778908466e+00 -1.632639419296056868e-02 4.259733166838783891e-01 -4.422997108768389474e-01 8.682730275607173365e-01
1.587275324219812545e+00 7.411948419749204042e+00 3.947274782375654878e-01 1.520888430076205555e+00 -1.647825160288060586e-02 4.277781373424926481e-01 -4.442563889453732262e-01 8.720345262878659298e-01
1.587427202061570952e+00 7.409962107084012928e+00 3.981938715374576665e-01 1.533965399327535506e+00 -1.663010863269836700e-02 4.295726880514201818e-01 -4.462027966841185522e-01 8.757754847355386785e-01
1.587579079903329804e+00 7.407985152574260823e+00 4.016572457639863147e-01 1.547027017746390731e+00 -1.678196527891186868e-02 4.313571011747874828e-01 -4.481390664536993307e-01 8.794961676284868135e-01
1.587730957745088434e+00 7.406017430297783477e+00 4.051176001333992582e-01 1.560073301508806187e+00 -1.693382153801759396e-02 4.331315071273880712e-01 -4.500653286654056617e-01 8.831968357927937330e-01
1.587882835586847063e+00 7.404058928820230534e+00 4.085747520962003665e-01 1.573103553231777640e+00 -1.708567740651291064e-02 4.348959328920701251e-01 -4.519816102985830253e-01 8.868775431906531503e-01
1.588034713428605693e+00 7.402109281463540746e+00 4.120291014463414170e-01 1.586119360696905956e+00 -1.723753288089497487e-02 4.366507250892476266e-01 -4.538882579701425946e-01 8.905389830593902767e-01
1.588186591270364545e+00 7.400168483659321339e+00 4.154804642230236489e-01 1.599120020419871668e+00 -1.738938795766118220e-02 4.383959037219977706e-01 -4.557852916796589771e-01 8.941811954016567476e-01
1.588338469112122953e+00 7.398236423316143728e+00 4.189288350597964450e-01 1.612105529638274248e+00 -1.754124263330803998e-02 4.401315854108071579e-01 -4.576728280441151875e-01 8.978044134549223454e-01
1.588490346953881804e+00 7.396312989821559825e+00 4.223742102164400603e-01 1.625075891757968405e+00 -1.769309690433362378e-02 4.418578851512159344e-01 -4.595509820555495617e-01 9.014088672067654961e-01
1.588642224795640434e+00 7.394398074020545941e+00 4.258165875182855498e-01 1.638031116116819730e+00 -1.784495076723446524e-02 4.435749163377080140e-01 -4.614198671049424827e-01 9.049947834426504967e-01
1.588794102637399064e+00 7.392491568194239804e+00 4.292559662974618773e-01 1.650971217756014964e+00 -1.799680421850799114e-02 4.452827907872843327e-01 -4.632795950057922996e-01 9.085623857930766878e-01
1.588945980479157694e+00 7.390593468952117995e+00 4.326921760559629404e-01 1.663895545444699975e+00 -1.814865725465141660e-02 4.469815267024655481e-01 -4.651301839571169716e-01 9.121117106595825197e-01
1.589097858320916323e+00 7.388703454873861709e+00 4.361255788516556486e-01 1.676805536466523971e+00 -1.830050987216196370e-02 4.486714265713761529e-01 -4.669719364435381270e-01 9.156433630149142244e-01
1.589249736162674953e+00 7.386821520940682007e+00 4.395560149635503455e-01 1.689700581371902155e+00 -1.845236206753686839e-02 4.503525093680905700e-01 -4.688048714356274349e-01 9.191573808037180049e-01
1.589401614004433805e+00 7.384947570759816671e+00 4.429834797012201508e-01 1.702580678602307884e+00 -1.860421383727359559e-02 4.520248756276786795e-01 -4.706290894649522993e-01 9.226539650926309788e-01
1.589553491846192435e+00 7.383081509139478804e+00 4.464079697214830555e-01 1.715445831698674928e+00 -1.875606517786895799e-02 4.536886245591853495e-01 -4.724446897370543352e-01 9.261333142962396847e-01
1.589705369687951064e+00 7.381223242072281643e+00 4.498294829806558925e-01 1.728296049115669364e+00 -1.890791608582043787e-02 4.553438540640947219e-01 -4.742517701499151528e-01 9.295956242140098746e-01
1.589857247529709916e+00 7.379372676718943147e+00 4.532480186881208128e-01 1.741131344041129125e+00 -1.905976655762552791e-02 4.569906607545032307e-01 -4.760504273121287655e-01 9.330410880666319962e-01
1.590009125371468324e+00 7.377529721392241058e+00 4.566635772612108179e-01 1.753951734220692282e+00 -1.921161658978085343e-02 4.586291399710271666e-01 -4.778407565608080443e-01 9.364698965318352109e-01
1.590161003213227175e+00 7.375694376083021808e+00 4.600760060699642939e-01 1.766756637393527507e+00 -1.936346617878459062e-02 4.602593054188347521e-01 -4.796227715976193462e-01 9.398820770164540983e-01
1.590312881054985805e+00 7.373866354444280624e+00 4.634856428579493537e-01 1.779547393066907679e+00 -1.951531532113337866e-02 4.618814248308691917e-01 -4.813967401520025668e-01 9.432781649828717585e-01
1.590464758896744435e+00 7.372045663770107282e+00 4.668923291494748717e-01 1.792323395650714524e+00 -1.966716401332475536e-02 4.634955048413141321e-01 -4.831626688546388770e-01 9.466581736959530646e-01
1.590616636738503065e+00 7.370232221572331710e+00 4.702960617640595808e-01 1.805084648088192356e+00 -1.981901225185604340e-02 4.651016316498340908e-01 -4.849206439016901515e-01 9.500222755515241868e-01
1.590768514580261916e+00 7.368425946334113519e+00 4.736968386124074115e-01 1.817831157440684464e+00 -1.997086003322479791e-02 4.666998903783894370e-01 -4.866707504116142280e-01 9.533706407900036650e-01
1.590920392422020324e+00 7.366626757497303224e+00 4.770946586592721972e-01 1.830562934743356518e+00 -2.012270735392770321e-02 4.682903650854124411e-01 -4.884130724393401235e-01 9.567034375247526201e-01
1.591072270263779176e+00 7.364834575449933141e+00 4.804895218874253304e-01 1.843279994865245630e+00 -2.027455421046300138e-02 4.698731387798362746e-01 -4.901476929902992552e-01 9.600208317701355298e-01
1.591224148105537584e+00 7.363049321513965850e+00 4.838814292624564750e-01 1.855982356372603670e+00 -2.042640059932717203e-02 4.714482934348630527e-01 -4.918746940341902074e-01 9.633229874690533157e-01
1.591376025947296435e+00 7.361270997684114192e+00 4.872702439692979670e-01 1.868669498046449329e+00 -2.057824651701847807e-02 4.730158397367058010e-01 -4.935940862537242513e-01 9.666099259904300522e-01
1.591527903789055065e+00 7.359499351279802148e+00 4.906562744297188194e-01 1.881342642376982566e+00 -2.073009196003364543e-02 4.745760126004284207e-01 -4.953061045604620904e-01 9.698821171608904557e-01
1.591679781630813695e+00 7.357734394039351145e+00 4.940393723175888763e-01 1.894001222698668441e+00 -2.088193692487029518e-02 4.761288136216288991e-01 -4.970107505464991804e-01 9.731395641681280795e-01
