Configuration	Term	J	Prefix	Level (eV)	Suffix	Uncertainty (eV)	Lande	Reference
"5p5.(2P*<3/2>).8p"	"2[1/2]"	"0"	""	"11.4753742"	""	""	""	"L763"
"5p5.(2P*<3/2>).8p"	"2[5/2]"	"2"	""	"11.4339916"	""	""	"1.103"	"L763"
"5p5.(2P*<3/2>).8p"	"2[5/2]"	"3"	""	"11.4393959"	""	""	"1.329"	"L763"
"5p5.(2P*<3/2>).8p"	"2[3/2]"	"1"	""	"11.4478412"	""	""	"1.036"	"L763"
"5p5.(2P*<3/2>).8p"	"2[3/2]"	"2"	""	"11.4525348"	""	""	"1.383"	"L763"
"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"4"	""	"11.4617102"	""	""	"1.217"	"L763"
"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"	""	"11.4866555"	""	""	"1.026"	"L763"
"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"	""	"11.4906715"	""	""	"1.073"	"L763"
"5p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"	""	"11.4975007"	""	""	"1.263"	"L763"
"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"	""	"11.4950757"	""	""	"0.819"	"L763"
"5p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"	""	"11.4960046"	""	""	"1.196"	"L763"
"5p5.(2P*<3/2>).5f"	"2[3/2]"	"1"	""	"11.5754959"	""	""	"0.4997"	"L763"
"5p5.(2P*<3/2>).5f"	"2[3/2]"	"2"	""	"11.5759390"	""	""	"1.10"	"L763"
"5p5.(2P*<3/2>).5f"	"2[9/2]"	"5"	""	"11.5773314"	""	""	""	"L763"
"5p5.(2P*<3/2>).5f"	"2[9/2]"	"4"	""	"11.5774212"	""	""	""	"L763"
"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"	""	"11.5799075"	""	""	"1.496"	"L763"
"5p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"	""	"11.5828652"	""	""	"1.154"	"L763"
"5p5.(2P*<3/2>).5f"	"2[5/2]"	"3"	""	"11.5803059"	""	""	"1.17"	"L763"
"5p5.(2P*<3/2>).5f"	"2[5/2]"	"2"	""	"11.5806159"	""	""	"0.87"	"L763"
"5p5.(2P*<3/2>).5f"	"2[7/2]"	"3"	""	"11.5827059"	""	""	""	"L763"
"5p5.(2P*<3/2>).5f"	"2[7/2]"	"4"	""	"11.5827155"	""	""	""	"L763"
"5p5.(2P*<3/2>).5g"	"2[5/2]*"	"2"	""	"11.582755"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[5/2]*"	"3"	""	"11.582794"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[11/2]*"	"6"	""	"11.583519"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[11/2]*"	"5"	""	"11.583519"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[7/2]*"	"4"	""	"11.585054"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[7/2]*"	"3"	""	"11.585054"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[9/2]*"	"5"	""	"11.585844"	""	""	""	"L234"
"5p5.(2P*<3/2>).5g"	"2[9/2]*"	"4"	""	"11.585844"	""	""	""	"L234"
