Configuration	Term	J	Prefix	Level (eV)	Suffix	Uncertainty (eV)	Lande	Reference
"5p5.(2P*<3/2>).15d"	"2[3/2]*"	"2"	""	"12.0432041"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15d"	"2[3/2]*"	"1"	""	"12.0468230"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15d"	"2[5/2]*"	"2"	""	"12.0440181"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15d"	"2[5/2]*"	"3"	""	"12.0444624"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13f"	"2[3/2]"	"1"	""	"12.04864"	""	""	""	"L5272"
"5p5.(2P*<3/2>).13f"	"2[3/2]"	"2"	""	"12.04871"	""	""	""	"L10346"
"5p5.(2P*<3/2>).13f"	"2[5/2]"	"2"	""	"12.04897"	""	""	""	"L11704"
"5p5.(2P*<3/2>).17s"	"2[3/2]*"	"2"	""	"12.0490716"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17s"	"2[3/2]*"	"1"	""	"12.0494192"	""	""	""	"L5558"
"5p5.(2P*<3/2>).13f"	"2[7/2]"	"3"	""	"12.04908"	""	""	""	"L11704"
"5p5.(2P*<3/2>).17p"	"2[1/2]"	"1"	""	"12.05417"	""	""	""	"L5272"
"5p5.(2P*<3/2>).17p"	"2[1/2]"	"0"	""	"12.05595"	""	""	""	"L10346"
"5p5.(2P*<3/2>).17p"	"2[5/2]"	"2"	""	"12.05455"	""	""	""	"L10346"
"5p5.(2P*<3/2>).16d"	"2[1/2]*"	"0"	""	"12.0547578"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16d"	"2[1/2]*"	"1"	""	"12.05505"	""	""	""	"L6449"
"5p5.(2P*<3/2>).17p"	"2[3/2]"	"2"	""	"12.05519"	""	""	""	"L10346"
"5p5.(2P*<3/2>).16d"	"2[7/2]*"	"4"	""	"12.0554074"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16d"	"2[7/2]*"	"3"	""	"12.0557617"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16d"	"2[3/2]*"	"2"	""	"12.0555265"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16d"	"2[3/2]*"	"1"	""	"12.0583917"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16d"	"2[5/2]*"	"2"	""	"12.0561789"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16d"	"2[5/2]*"	"3"	""	"12.0564114"	""	""	""	"L5558"
"5p5.(2P*<3/2>).14f"	"2[3/2]"	"1"	""	"12.0598"	""	""	""	"L5272"
"5p5.(2P*<3/2>).14f"	"2[3/2]"	"2"	""	"12.05994"	""	""	""	"L10346"
"5p5.(2P*<3/2>).14f"	"2[5/2]"	"2"	""	"12.06012"	""	""	""	"L11704"
"5p5.(2P*<3/2>).18s"	"2[3/2]*"	"2"	""	"12.0602151"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18s"	"2[3/2]*"	"1"	""	"12.0604943"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18p"	"2[1/2]"	"1"	""	"12.06431"	""	""	""	"L5272"
"5p5.(2P*<3/2>).18p"	"2[1/2]"	"0"	""	"12.06575"	""	""	""	"L10346"
"5p5.(2P*<3/2>).18p"	"2[5/2]"	"2"	""	"12.06464"	""	""	""	"L10346"
"5p5.(2P*<3/2>).17d"	"2[1/2]*"	"0"	""	"12.06479"	""	""	""	"L11704"
"5p5.(2P*<3/2>).17d"	"2[1/2]*"	"1"	""	"12.06500"	""	""	""	"L6449"
"5p5.(2P*<3/2>).18p"	"2[3/2]"	"2"	""	"12.06515"	""	""	""	"L10346"
"5p5.(2P*<3/2>).17d"	"2[7/2]*"	"4"	""	"12.0653080"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17d"	"2[7/2]*"	"3"	""	"12.0655906"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17d"	"2[3/2]*"	"2"	""	"12.0653966"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17d"	"2[3/2]*"	"1"	""	"12.0677041"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17d"	"2[5/2]*"	"2"	""	"12.0659272"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17d"	"2[5/2]*"	"3"	""	"12.0662173"	""	""	""	"L5558"
"5p5.(2P*<3/2>).15f"	"2[3/2]"	"1"	""	"12.06891"	""	""	""	"L5272"
"5p5.(2P*<3/2>).15f"	"2[3/2]"	"2"	""	"12.06898"	""	""	""	"L10346"
"5p5.(2P*<3/2>).15f"	"2[5/2]"	"2"	""	"12.06918"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19s"	"2[3/2]*"	"2"	""	"12.0692020"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19s"	"2[3/2]*"	"1"	""	"12.0694346"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19p"	"2[1/2]"	"1"	""	"12.07254"	""	""	""	"L5272"
"5p5.(2P*<3/2>).19p"	"2[1/2]"	"0"	""	"12.07371"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19p"	"2[5/2]"	"2"	""	"12.07280"	""	""	""	"L10346"
"5p5.(2P*<3/2>).18d"	"2[1/2]*"	"0"	""	"12.07291"	""	""	""	"L11704"
"5p5.(2P*<3/2>).18d"	"2[1/2]*"	"1"	""	"12.0731070"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19p"	"2[3/2]"	"2"	""	"12.07323"	""	""	""	"L10346"
"5p5.(2P*<3/2>).18d"	"2[7/2]*"	"4"	""	"12.0733566"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18d"	"2[7/2]*"	"3"	""	"12.0735857"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18d"	"2[3/2]*"	"2"	""	"12.0734239"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18d"	"2[3/2]*"	"1"	""	"12.0753103"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18d"	"2[5/2]*"	"2"	""	"12.0738612"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18d"	"2[5/2]*"	"3"	""	"12.0741004"	""	""	""	"L5558"
"5p5.(2P*<3/2>).16f"	"2[3/2]"	"1"	""	"12.07633"	""	""	""	"L5272"
"5p5.(2P*<3/2>).16f"	"2[3/2]"	"2"	""	"12.07636"	""	""	""	"L10346"
"5p5.(2P*<3/2>).16f"	"2[5/2]"	"2"	""	"12.07653"	""	""	""	"L10346"
"5p5.(2P*<3/2>).20s"	"2[3/2]*"	"2"	""	"12.0765550"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20s"	"2[3/2]*"	"1"	""	"12.0767498"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20p"	"2[5/2]"	"2"	""	"12.07954"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19d"	"2[1/2]*"	"0"	""	"12.07961"	""	""	""	"L11704"
"5p5.(2P*<3/2>).19d"	"2[1/2]*"	"1"	""	"12.0797782"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20p"	"2[3/2]"	"2"	""	"12.07990"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19d"	"2[7/2]*"	"4"	""	"12.0799884"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19d"	"2[7/2]*"	"3"	""	"12.0801766"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19d"	"2[3/2]*"	"2"	""	"12.0800406"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19d"	"2[3/2]*"	"1"	""	"12.0816024"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20p"	"2[1/2]"	"0"	""	"12.08030"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19d"	"2[5/2]*"	"2"	""	"12.0804050"	""	""	""	"L5558"
"5p5.(2P*<3/2>).19d"	"2[5/2]*"	"3"	""	"12.0806045"	""	""	""	"L5558"
"5p5.(2P*<3/2>).17f"	"2[3/2]"	"1"	""	"12.08246"	""	""	""	"L5272"
"5p5.(2P*<3/2>).17f"	"2[3/2]"	"2"	""	"12.08253"	""	""	""	"L10346"
"5p5.(2P*<3/2>).17f"	"2[5/2]"	"2"	""	"12.08266"	""	""	""	"L10346"
"5p5.(2P*<3/2>).20d"	"2[1/2]*"	"0"	""	"12.08519"	""	""	""	"L11704"
"5p5.(2P*<3/2>).20d"	"2[1/2]*"	"1"	""	"12.0853388"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20d"	"2[7/2]*"	"4"	""	"12.0855171"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20d"	"2[7/2]*"	"3"	""	"12.0856737"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20d"	"2[3/2]*"	"2"	""	"12.0855584"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20d"	"2[3/2]*"	"1"	""	"12.0868662"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20d"	"2[5/2]*"	"2"	""	"12.0858651"	""	""	""	"L5558"
"5p5.(2P*<3/2>).20d"	"2[5/2]*"	"3"	""	"12.0860331"	""	""	""	"L5558"
"5p5.(2P*<3/2>).18f"	"2[3/2]"	"1"	""	"12.08759"	""	""	""	"L5272"
"5p5.(2P*<3/2>).18f"	"2[3/2]"	"2"	""	"12.08765"	""	""	""	"L10346"
"5p5.(2P*<3/2>).18f"	"2[5/2]"	"2"	""	"12.08775"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19f"	"2[3/2]"	"1"	""	"12.09194"	""	""	""	"L5272"
"5p5.(2P*<3/2>).19f"	"2[3/2]"	"2"	""	"12.09199"	""	""	""	"L10346"
"5p5.(2P*<3/2>).19f"	"2[5/2]"	"2"	""	"12.09208"	""	""	""	"L10346"
"5p5.(2P*<3/2>).20f"	"2[3/2]"	"1"	""	"12.09564"	""	""	""	"L5272"
"Xe II (5s2.5p5 2P*<3/2>)"	"Limit"	"---"	""	"12.1298437"	""	"0.0000015"	""	"L12013,L9794,L6426"
"5p5.(2P*<1/2>).7p"	"2[3/2]"	"1"	""	"12.25646"	""	""	""	"L5272"
"5p5.(2P*<1/2>).7p"	"2[3/2]"	"2"	""	"12.28292"	""	""	""	"L5272"
"5p5.(2P*<1/2>).7p"	"2[1/2]"	"1"	""	"12.28098"	""	""	""	"L5272"
"5p5.(2P*<1/2>).6d"	"2[3/2]*"	"1"	""	"12.4502"	""	""	""	"L3466"
"5p5.(2P*<1/2>).4f"	"2[5/2]"	"3"	""	"12.57507"	""	""	""	"L4103"
"5p5.(2P*<1/2>).4f"	"2[5/2]"	"2"	""	"12.57563"	""	""	""	"L4103"
"5p5.(2P*<1/2>).4f"	"2[7/2]"	"4"	""	"12.57507"	""	""	""	"L4103"
"5p5.(2P*<1/2>).4f"	"2[7/2]"	"3"	""	"12.57507"	""	""	""	"L4103"
"5p5.(2P*<1/2>).8s"	"2[1/2]*"	"1"	""	"12.5752"	""	""	""	"L3466"
"5p5.(2P*<1/2>).7d"	"2[3/2]*"	"1"	""	"12.8223"	""	""	""	"L3466"
"5p5.(2P*<1/2>).5f"	"2[5/2]"	"3"	""	"12.88545"	""	""	""	"L4103"
"5p5.(2P*<1/2>).5f"	"2[5/2]"	"2"	""	"12.88585"	""	""	""	"L4103"
"5p5.(2P*<1/2>).5f"	"2[7/2]"	"4"	""	"12.88545"	""	""	""	"L4103"
"5p5.(2P*<1/2>).5f"	"2[7/2]"	"3"	""	"12.88545"	""	""	""	"L4103"
"5p5.(2P*<1/2>).9s"	"2[1/2]*"	"1"	""	"12.8887"	""	""	""	"L3466"
"5p5.(2P*<1/2>).8d"	"2[3/2]*"	"1"	""	"13.0200"	""	""	""	"L6449"
"5p5.(2P*<1/2>).6f"	"2[7/2]"	"4"	""	"13.05407"	""	""	""	"L4103"
"5p5.(2P*<1/2>).6f"	"2[7/2]"	"3"	""	"13.05407"	""	""	""	"L4103"
"5p5.(2P*<1/2>).6f"	"2[5/2]"	"3"	""	"13.05407"	""	""	""	"L4103"
"5p5.(2P*<1/2>).6f"	"2[5/2]"	"2"	""	"13.05407"	""	""	""	"L4103"
"5p5.(2P*<1/2>).10s"	"2[1/2]*"	"1"	""	"13.05599"	""	""	""	"L6449"
"5p5.(2P*<1/2>).9d"	"2[3/2]*"	"1"	""	"13.1350"	""	""	""	"L6449"
"5p5.(2P*<1/2>).7f"	"2[7/2]"	"4"	""	"13.15569"	""	""	""	"L4103"
"5p5.(2P*<1/2>).7f"	"2[7/2]"	"3"	""	"13.15569"	""	""	""	"L4103"
"5p5.(2P*<1/2>).7f"	"2[5/2]"	"3"	""	"13.15569"	""	""	""	"L4103"
"5p5.(2P*<1/2>).7f"	"2[5/2]"	"2"	""	"13.15569"	""	""	""	"L4103"
"5p5.(2P*<1/2>).11s"	"2[1/2]*"	"1"	""	"13.15730"	""	""	""	"L6449"
"5p5.(2P*<1/2>).10d"	"2[3/2]*"	"1"	""	"13.2078"	""	""	""	"L6449"
"5p5.(2P*<1/2>).8f"	"2[7/2]"	"4"	""	"13.22156"	""	""	""	"L4103"
"5p5.(2P*<1/2>).8f"	"2[7/2]"	"3"	""	"13.22156"	""	""	""	"L4103"
"5p5.(2P*<1/2>).8f"	"2[5/2]"	"3"	""	"13.22156"	""	""	""	"L4103"
"5p5.(2P*<1/2>).8f"	"2[5/2]"	"2"	""	"13.22156"	""	""	""	"L4103"
"5p5.(2P*<1/2>).12s"	"2[1/2]*"	"1"	""	"13.22287"	""	""	""	"L6449"
"5p5.(2P*<1/2>).11d"	"2[3/2]*"	"1"	""	"13.2575"	""	""	""	"L6449"
"5p5.(2P*<1/2>).13s"	"2[1/2]*"	"1"	""	"13.26776"	""	""	""	"L6449"
"5p5.(2P*<1/2>).12d"	"2[3/2]*"	"1"	""	"13.2922"	""	""	""	"L6449"
"5p5.(2P*<1/2>).14s"	"2[1/2]*"	"1"	""	"13.29985"	""	""	""	"L6449"
"5p5.(2P*<1/2>).13d"	"2[3/2]*"	"1"	""	"13.3178"	""	""	""	"L6449"
"5p5.(2P*<1/2>).15s"	"2[1/2]*"	"1"	""	"13.32355"	""	""	""	"L6449"
"5p5.(2P*<1/2>).14d"	"2[3/2]*"	"1"	""	"13.33717"	""	""	""	"L6449"
"5p5.(2P*<1/2>).16s"	"2[1/2]*"	"1"	""	"13.34159"	""	""	""	"L6449"
"5p5.(2P*<1/2>).15d"	"2[3/2]*"	"1"	""	"13.35216"	""	""	""	"L6449"
"5p5.(2P*<1/2>).17s"	"2[1/2]*"	"1"	""	"13.35560"	""	""	""	"L6449"
"5p5.(2P*<1/2>).16d"	"2[3/2]*"	"1"	""	"13.36396"	""	""	""	"L6449"
"5p5.(2P*<1/2>).18s"	"2[1/2]*"	"1"	""	"13.36674"	""	""	""	"L6449"
"5p5.(2P*<1/2>).17d"	"2[3/2]*"	"1"	""	"13.37346"	""	""	""	"L6449"
"5p5.(2P*<1/2>).19s"	"2[1/2]*"	"1"	""	"13.37570"	""	""	""	"L6449"
"5p5.(2P*<1/2>).18d"	"2[3/2]*"	"1"	""	"13.38118"	""	""	""	"L6449"
"5p5.(2P*<1/2>).20s"	"2[1/2]*"	"1"	""	"13.38304"	""	""	""	"L6449"
"5p5.(2P*<1/2>).19d"	"2[3/2]*"	"1"	""	"13.38758"	""	""	""	"L6449"
"5p5.(2P*<1/2>).20d"	"2[3/2]*"	"1"	""	"13.39293"	""	""	""	"L6449"
"Xe II (5s2.5p5 2P*<1/2>)"	"Limit"	"---"	""	"13.436267"	""	""	""	""
"5s.5p6.(2S*<1/2>).6p"	"*"	"1"	""	"20.9515"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).7p"	"*"	"1"	""	"22.2262"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<5/2>).7p"	"*"	"1"	""	"22.5114"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).8p"	"*"	"1"	""	"22.7044"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<3/2>).7p"	"*"	"1"	""	"22.7837"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).9p"	"*"	"1"	""	"22.9371"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<5/2>).8p"	"*"	"1"	""	"22.9885"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).10p"	"*"	"1"	""	"23.0685"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).11p"	"*"	"1"	""	"23.1508"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<5/2>).9p"	"*"	"1"	""	"23.1929"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).12p"	"*"	"1"	""	"23.2062"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<3/2>).8p"	"*"	"1"	""	"23.2468"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).13p"	"*"	"1"	""	"23.2468"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).14p"	"*"	"1"	""	"23.2721"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<5/2>).10p"	"*"	"1"	""	"23.3330"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).19p"	"*"	"1"	""	"23.3399"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).21p"	"*"	"1"	""	"23.3523"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).22p"	"*"	"1"	""	"23.3566"	""	""	""	"L1526"
"5s.5p6.(2S*<1/2>).23p"	"*"	"1"	""	"23.3606"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<5/2>).11p"	"*"	"1"	""	"23.4224"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<3/2>).9p"	"*"	"1"	""	"23.4631"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<5/2>).12p"	"*"	"1"	""	"23.4796"	""	""	""	"L1526"
"5p4.(3P).6s.(4P<3/2>).10p"	"*"	"1"	""	"23.5814"	""	""	""	"L1526"
"5p4.(3P).6p.(4D*<3/2>).10d"	"*"	"1"	""	"26.3538"	""	""	""	"L1526"
"5p4.(3P).6p.(4D*<3/2>).11d"	"*"	"1"	""	"26.4133"	""	""	""	"L1526"
"5p4.(3P).6p.(4D*<3/2>).12d"	"*"	"1"	""	"26.4545"	""	""	""	"L1526"
"5p4.(3P).6p.(4D*<3/2>).13d"	"*"	"1"	""	"26.4839"	""	""	""	"L1526"
"5p4.(3P).6p.(4S*<3/2>).9d"	"*"	"1"	""	"26.8947"	""	""	""	"L1526"
"5p4.(3P).6p.(4S*<3/2>).10d"	"*"	"1"	""	"26.9719"	""	""	""	"L1526"
"5p4.(3P).6p.(4S*<3/2>).11d"	"*"	"1"	""	"27.0336"	""	""	""	"L1526"
"5p4.(3P).6p.(4S*<3/2>).12d"	"*"	"1"	""	"27.0685"	""	""	""	"L1526"
"5p4.(1S).5d.(2D<3/2>).11p"	"*"	"1"	""	"27.2888"	""	""	""	"L1526"
"5p4.(1S).5d.(2D<3/2>).12p"	"*"	"1"	""	"27.3442"	""	""	""	"L1526"
"5p4.(1S).5d.(2D<3/2>).13p"	"*"	"1"	""	"27.4089"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).8d"	"*"	"1"	""	"27.8234"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).9d"	"*"	"1"	""	"27.9413"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).10d"	"*"	"1"	""	"28.0248"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).11d"	"*"	"1"	""	"28.0850"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).12d"	"*"	"1"	""	"28.1137"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).13d"	"*"	"1"	""	"28.1404"	""	""	""	"L1526"
"5p4.(1D).6p.(2F*<7/2>).14d"	"*"	"1"	""	"28.1571"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).10p"	"*"	"1"	""	"28.5454"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).11p"	"*"	"1"	""	"28.6139"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).12p"	"*"	"1"	""	"28.6794"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).13p"	"*"	"1"	""	"28.7300"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).14p"	"*"	"1"	""	"28.7493"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).15p"	"*"	"1"	""	"28.7733"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).16p"	"*"	"1"	""	"28.7914"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).17p"	"*"	"1"	""	"28.8034"	""	""	""	"L1526"
"5p4.(3P).7s.(4P<1/2>).18p"	"*"	"1"	""	"28.8128"	""	""	""	"L1526"
